"Practice Name","Phone","Address","Owner Name","Language","Status","Last Contact","Notes","Assigned To","Owner Title","Vertical","Lead Score","Company LinkedIn","Owner LinkedIn","Owner Email Status","Founded Year"
"Apple Family Dental","(402) 896-9112","Miami, Florida","Milanka Ve**s","Bilingual","new","","Score 9/10 | apollo:5500cf3f73696461559d7f00","","Owner","dental","9","http://www.linkedin.com/company/apple-family-dental","","unverified","1997"
"VIPcare Dental","(352) 309-0692","Tampa, Florida","","Bilingual","new","","Score 8/10 | apollo:5ed0ed1b705a9100019c3733","","","dental","8","http://www.linkedin.com/company/vipcare-dental-pllc","","","2017"
"Sharp Dentistry","(305) 857-0990","Miami, Florida","","Bilingual","new","","Score 7/10 | apollo:661e506d5355cd0007d9537a","","","dental","7","http://www.linkedin.com/company/sharp-dentistry","","","1999"
"The International Center for Dental Excellence","(855) 381-6001","Fort Lauderdale, Florida","","Bilingual","new","","Score 7/10 | apollo:54a25dcf74686930c28b471d","","","dental","7","http://www.linkedin.com/company/international-center-for-dental-excellence","","","1997"
"Shore Dental Partners","","Tampa, Florida","","Bilingual","new","","Score 7/10 | apollo:652a8ecb2751ca00019fb15f","","","dental","7","http://www.linkedin.com/company/shore-dental-partners","","",""
"South Tampa Pediatric Dentistry","(813) 874-0111","Tampa, Florida","Lesley Ru**h","Bilingual","new","","Score 9/10 | apollo:6715771494b9ae0001640e81","","Pediatric Dentist and Owner","dental","9","http://www.linkedin.com/company/south-tampa-pediatric-dentistry","","verified",""
"Northpoint Dental","(904) 409-3463","Jacksonville, Florida","","English","new","","Score 8/10 | apollo:59bbabbca6da98d166430666","","","dental","8","http://www.linkedin.com/company/northpoint-dental","","","2021"
"""Jackson Dental, PA""","(813) 701-3141","Tampa, Florida","","Bilingual","new","","Score 8/10 | apollo:54fca422736964016bd62700","","","dental","8","http://www.linkedin.com/company/jackson-dental-pa","","","2013"
"SoFlo Dental","(305) 662-2599","Miami, Florida","","Bilingual","new","","Score 7/10 | apollo:64c66e5e6ea0ba0001603474","","","dental","7","http://www.linkedin.com/company/soflo-dental","","",""
"South Dental","(954) 450-1303","Miami, Florida","","Bilingual","new","","Score 7/10 | apollo:664e45fc0cd07201eb4b0b0c","","","dental","7","http://www.linkedin.com/company/southdental","","","1990"
"Dental Specialists Group-","(954) 588-4671","Fort Lauderdale, Florida","","Bilingual","new","","Score 8/10 | apollo:56d569f1f3e5bb199c001a51","","","dental","8","http://www.linkedin.com/company/dental-specialists-of-broward-group","","","2012"
"Alter Dental Group","(305) 931-8255","Miami, Florida","","Bilingual","new","","Score 7/10 | apollo:65e01bd5f6073200010330b7","","","dental","7","http://www.linkedin.com/company/alterdentalgroup","","",""
"TAMPA DENTAL","(813) 888-9004","Tampa, Florida","","Bilingual","new","","Score 7/10 | apollo:6728a6d46893d600011cf1e2","","","dental","7","http://www.linkedin.com/company/tampa-dental","","",""
"""Orlando Dental & Implant Studio, PA""","(407) 601-7999","Orlando, Florida","Charles Cu**l","Bilingual","new","","Score 10/10 | apollo:54a121c969702d8ccc40e902","","Owner/Dentist","dental","10","http://www.linkedin.com/company/orlando-dental-&-implant-studio-pa","","unverified","2011"
"Mandarin Dental Professionals","(904) 685-8851","Jacksonville, Florida","","English","new","","Score 7/10 | apollo:66dd5d3d7f7b5c0001c999c6","","","dental","7","http://www.linkedin.com/company/mandarin-dental-professionals","","",""
"SOUTH ORLANDO DENTAL CENTER","(407) 857-9888","Orlando, Florida","","Bilingual","new","","Score 8/10 | apollo:5e5785190c206a00016bda75","","","dental","8","http://www.linkedin.com/company/south-orlando-dental-center","","","2014"
"Serene Dental Orlando","(407) 434-0243","Orlando, Florida","","Bilingual","new","","Score 8/10 | apollo:5da38e8d97186f000191ad00","","","dental","8","http://www.linkedin.com/company/serene-dental-orlando","","","2011"
"Lake Lucerne Lifestyle Dentistry","(407) 425-4901","Orlando, Florida","","Bilingual","new","","Score 7/10 | apollo:5a9f0d3aa6da98d94674e319","","","dental","7","http://www.linkedin.com/company/lake-lucerne-lifestyle-dentistry","","","1974"
"Larroc Dental at the Town Center","(904) 442-6000","Jacksonville, Florida","","English","new","","Score 8/10 | apollo:5da456997ca76a000141630b","","","dental","8","http://www.linkedin.com/company/larroc-dental-at-the-town-center","","","2018"
"Mosaic Dental Center","(407) 982-1912","Orlando, Florida","Sonia Si**s","Bilingual","new","","Score 9/10 | apollo:5f45f309b93913000173b5e7","","Owner","dental","9","http://www.linkedin.com/company/simmonds-dental-center","","unverified","2008"
"Pinecrest Dental","(305) 670-8088","Miami, Florida","","Bilingual","new","","Score 7/10 | apollo:54a129e269702dcef917dc01","","","dental","7","http://www.linkedin.com/company/pinecrest-dental-center-for-family-and-cosmetic-dentistry","","","1988"
"Dr. Patty's Dental Boutique & Spa","(954) 524-2300","Fort Lauderdale, Florida","","Bilingual","new","","Score 8/10 | apollo:54fca2997369647f7db11700","","","dental","8","http://www.linkedin.com/company/dr-patty's-dental-boutique","","","2012"
"Martinez Dental Solutions","(904) 296-6820","Jacksonville, Florida","Sandra Ma**z","English","new","","Score 9/10 | apollo:63b9e52418b17a0001d7d5d1","","Co-Owner","dental","9","http://www.linkedin.com/company/martinez-dental-solutions","","unverified","2006"
"Dr. B Dental Solutions,drbdentalsolutions.com","Miami","Florida","""CEO","English","new","","Score 10/10 | apollo:5a9d2cf6a6da98d9a15733ab","","Co-Founder""","dental","10","Jean-Paul Be**d","","unverified",""
"Olympus Dental","(240) 780-7002","Miami, Florida","","Bilingual","new","","Score 8/10 | apollo:59bb98dca6da98240c192143","","","dental","8","http://www.linkedin.com/company/olympus-dental","","","2024"
"Dr.Nick's White & Healthy Dentistry","(813) 445-7162","Tampa, Florida","","Bilingual","new","","Score 7/10 | apollo:629a086b183114008dd59b02","","","dental","7","http://www.linkedin.com/company/dr-nick-s-white-healthy-dentistry","","",""
"Assure a Smile Miami Dentistry","(305) 274-0047","Miami, Florida","","Bilingual","new","","Score 7/10 | apollo:54a19fe2746869586065da02","","","dental","7","http://www.linkedin.com/company/assure-a-smile-miami-dentistry","","","1988"
"Atlantic Dentistry","(904) 647-1800","Jacksonville, Florida","","English","new","","Score 7/10 | apollo:61eb8ed547cec70001cbda78","","","dental","7","http://www.linkedin.com/company/atlantic-dentistryjax","","",""
"Ameri-Dent Dental Laboratory","(813) 803-5662","Tampa, Florida","Ralph Cdt","Bilingual","new","","Score 10/10 | apollo:60b2f1809fb3ff0001cc4f61","","Owner","dental","10","http://www.linkedin.com/company/ameri-dent-dental-laboratory","","unverified","2018"
"SOMI Dental Group","(561) 733-8580","Miami, Florida","Arnaldo Lo**z","Bilingual","new","","Score 10/10 | apollo:5b145a99a6da98dcdbcc58a0","","Small Business Owner","dental","10","http://www.linkedin.com/company/somi-dental-group","","unverified","2016"
